,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5746,534.0
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2336,495.0
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5784,301.0
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5826,203.0
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5827,335.0
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5641,185.0
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5829,83.0
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5889,524.0
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5897,303.0
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5906,218.0
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2331,290.0
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4510,250.0
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5936,183.0
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5954,437.6
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID753,290.0
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID985,351.5
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5281,383.0
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5976,63.9
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5977,167.0
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1030,187.6
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6398969,185.5
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5997,360.0
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5497,298.0
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1732,235.0
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6046,225.0
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3283,34.6
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280450,365.2
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6061,87.5
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1349907,280.0
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4754,243.5
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6113,213.5
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3039,234.1
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6129,315.0
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1001,197.5
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6145,238.0
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID284,101.0
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID176,117.9
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6163,208.0
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5147,181.5
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID243,249.2
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6184,131.0
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4156,203.0
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6195,292.0
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6210,218.0
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID887,64.7
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4113,49.5
46,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3776,82.3
47,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID180,56.0
48,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID679,189.0
49,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6213,238.0
50,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6228,153.0
51,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3598,479.0
52,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6264,296.0
53,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1031,97.2
54,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID263,117.7
55,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6276,137.9
56,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID241,80.0
57,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6278,74.0
58,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4115,346.0
59,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6293,430.0
60,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6294,350.0
61,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6323,3.5
62,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6324,-88.6
63,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6325,-103.7
64,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6326,-84.7
65,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6327,-24.0
66,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6328,42.5
67,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6329,-6.3
68,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID878,5.9
69,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3024,97.0
70,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6332,38.5
71,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6333,68.0
72,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6334,-42.1
73,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6335,-23.2
74,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6338,-13.3
75,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6339,-72.0
76,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6340,72.5
77,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6341,16.6
78,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6342,81.6
79,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID177,20.1
80,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6344,40.0
81,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6345,-51.6
82,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6346,182.0
83,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID713,220.0
84,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1068,37.3
85,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6351,-32.8
86,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6354,10.6
87,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5558,149.1
88,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6358,59.5
89,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6360,-11.7
90,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6361,35.7
91,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6363,31.7
92,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6364,52.5
93,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6365,57.4
94,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6366,31.6
95,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6368,-24.9
96,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6369,-85.7
97,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6370,8.9
98,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6372,-40.7
99,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6373,-82.1
100,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1146,2.87
101,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6375,101.1
102,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6327386,41.0
103,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6377,67.0
104,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6382,25.0
105,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6383,105.0
106,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6384,-57.8
107,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6385,45.0
108,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6386,82.4
109,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6387,64.0
110,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6388,-9.7
111,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6391,-29.8
112,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6392,-81.4
113,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6393,-128.0
114,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6396,26.6
115,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6397,60.0
116,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6398,70.3
117,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6399,65.6
118,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6401,195.0
119,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6402,92.5
120,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6404,113.5
121,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6405,102.4
122,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6406,171.0
123,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6407,97.8
124,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6408,6.1
125,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6413,91.5
126,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6416,106.1
127,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6417,164.0
128,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6418,187.5
129,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66153,163.0
130,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6419,159.8
131,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6422,73.0
132,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6423,112.0
133,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6425,174.4
134,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6426,91.5
135,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6427,93.0
136,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6428,47.7
137,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6430,-37.9
138,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6431,-78.1
139,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2537,204.0
140,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6440,208.0
141,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID64686,164.0
142,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4116,105.0
143,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3589,310.0
144,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6448,221.0
145,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6456,310.0
146,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6457,380.0
147,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66165,230.0
148,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6492,170.0
149,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6493,122.4
150,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6494,120.5
151,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6495,83.0
152,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6496,234.5
153,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6500,240.0
154,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6501,273.5
155,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66169,225.8
156,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6502,283.0
157,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6506,294.0
