,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5743,1.32
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4763,1.234
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5746,1.56
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280793,0.97
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2907,1.33
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5754,1.28
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5755,1.31
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3036,1.451
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5758,1.517
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2336,1.286
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4781,1.173
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5426,1.503
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID667490,1.82
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5765,1.517
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2995,1.047
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2160,1.076
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3696,1.041
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2726,1.212
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5770,1.32
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID439302,1.27
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5775,1.18
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2244,1.35
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5784,1.518
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID54670067,1.954
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5787,1.517
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID107526,1.581
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5794,1.066
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4913,1.06
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4472,1.203
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5798,1.242
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5799,1.617
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3385,1.53
