,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4099,1.0
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5755,1.0
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5757,1.0
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID667490,1.0
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2160,1.0
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3696,1.0
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5770,1.0
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID54670067,0.0
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3385,1.0
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID657298,1.0
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4033,1.0
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5833,1.0
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5453,1.0
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5852,1.0
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5857,1.0
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3559,1.0
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5865,1.0
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID222786,1.0
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5870,1.0
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3715,0.0
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5906,1.0
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID169371,1.0
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2478,1.0
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5959,1.0
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5288826,1.0
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1775,1.0
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4058,1.0
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2164,1.0
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4064,1.0
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280963,1.0
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5991,1.0
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4911,1.0
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2712,1.0
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4917,1.0
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4748,1.0
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3278,1.0
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2153,1.0
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3100,0.0
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2720,1.0
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6032,1.0
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6041,1.0
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4914,0.0
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1986,1.0
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID938,0.0
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1839,0.0
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1349907,1.0
46,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4927,1.0
47,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6087,0.0
48,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5904,0.0
49,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6098,0.0
50,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4754,0.0
51,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5284595,1.0
52,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID702,1.0
53,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5505,1.0
54,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1054,0.0
55,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID54676038,1.0
56,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6196,0.0
57,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5323714,1.0
58,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6230,1.0
