,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5743,297.5
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4763,11.0
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5746,305.6
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4099,136.4
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280793,218.2
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2907,157.1
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID612,109.936
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5754,310.4
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5756,220.8
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5757,209.6
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5758,134.5
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5759,150.1
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2336,228.6
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4781,174.3
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID667490,255.4
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5765,139.4
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2995,160.5
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2160,174.0
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3696,179.7
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2726,226.0
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5770,377.2
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID439302,881.1
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5775,287.0
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4477,210.5
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5780,292.5
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2244,250.0
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5784,135.8
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID54670067,180.4
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5787,141.0
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID107526,286.7
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4913,208.9
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4472,279.2
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5796,157.2
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5798,208.439
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5799,214.0
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1493,142.8
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5816,207.9
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5817,146.0
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID774,180.3
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID657298,168.6
