,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5758,2.33
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5764,2.59
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5765,2.59
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5784,2.54
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1493,4.06
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5811,3.27
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5817,3.31
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2331,2.09
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,2.98
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5971,5.061
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1030,0.49
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2365,2.875
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4055,4.54
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1732,3.8
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6054,2.41
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID178,0.678
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6115,2.77
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2723790,1.68
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID702,1.009
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6163,2.302
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5147,2.76
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6195,3.423
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66139,4.26
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID887,0.334
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3776,1.118
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID180,0.796
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID679,0.548
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6213,0.8
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID338,2.49
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6259,5.824
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6264,4.71
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6271,3.12
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1031,1.254
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6276,1.97
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID241,2.88
