,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3036,7.47
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1493,4.592
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5853,9.088
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4510,3.851
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,3.643
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID991,8.269
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID448537,5.37
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5954,6.219
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5993,6.62
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4993,4.632
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4055,5.545
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6028,6.006
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6049,3.103
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3082,5.143
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6115,5.413
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2723790,3.927
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3039,9.415
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6129,5.304
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID887,0.989
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID180,0.672
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6212,3.254
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6214,4.943
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1031,0.944
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6278,4.076
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID12358480,6.428
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4115,7.335
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6342,1.057
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6343,5.563
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6354,2.343
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5558,3.74
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3589,6.512
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6492,4.1
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6544,3.061
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6560,1.826
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6564,3.306
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6573,3.691
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6574,3.492
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6575,3.378
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6579,2.648
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6591,3.469
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6623,4.251
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6654,3.522
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6734,5.379
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6739,4.556
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6740,4.611
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6758,8.028
46,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6781,3.613
47,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3026,4.876
48,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID995,5.366
49,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2347,4.385
50,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6838,4.405
51,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID992,5.522
52,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6914,5.147
53,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6945,3.662
54,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6950,6.0
55,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6954,3.431
56,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6975,4.266
