,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4763,2.681
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3036,7.271
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5759,4.424
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1493,4.224
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5641,1.231
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5853,3.373
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5921,2.12
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2331,2.263
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3346,4.939
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4510,4.919
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,3.57
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID991,5.315
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5971,6.064
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5976,3.884
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5977,3.119
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2164,3.423
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1030,0.349
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5993,6.819
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4055,6.195
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6028,5.352
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1732,4.416
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6049,3.689
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3283,1.462
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID969491,7.21
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6115,2.993
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2723949,2.444
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3039,4.742
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6124,1.897
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6129,4.446
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID702,0.534
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID176,2.857
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5147,3.133
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6184,3.756
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID54676038,4.818
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66139,4.634
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID887,0.056
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3776,0.778
