,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5746,4.047
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4060,2.41
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280793,4.598
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2907,3.417
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3036,3.61
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4781,3.1
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5426,3.359
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID667490,2.74
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2995,2.851
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2160,2.938
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3696,3.05
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5452,2.571
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2726,3.351
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5770,3.161
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5773,2.221
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4477,2.117
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5780,1.059
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5781,1.436
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2244,2.955
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID54670067,1.17
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5790,3.059
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID107526,0.844
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5794,1.741
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4913,2.082
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4472,2.244
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5796,2.174
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5799,4.196
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3385,2.752
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1493,3.788
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID153311,2.059
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID657298,2.134
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID174174,2.762
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4039,1.996
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5641,1.692
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5845,3.597
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2450,3.046
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2901,2.649
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2520,3.445
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66126,2.932
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4727,2.612
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5852,1.384
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5853,2.757
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5859,4.065
