,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5743,263.0
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4763,174.0
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4099,150.5
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4060,136.5
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280793,116.5
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2907,51.5
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID612,16.8
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5753,181.0
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5754,218.5
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5756,282.0
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3036,108.5
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5759,124.5
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2336,176.5
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4781,105.0
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5426,270.0
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID446220,98.0
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66120,141.0
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5764,162.0
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5765,169.0
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2160,196.5
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3696,174.5
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID222757,196.0
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5452,73.0
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5775,174.5
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4477,230.0
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5202,167.5
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5311110,95.0
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2244,135.0
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5784,154.4
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5788,177.0
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5789,186.5
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5790,150.5
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID107526,83.0
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4472,151.6
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5798,170.5
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3385,283.0
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5803,181.5
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5804,200.0
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1493,115.5
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID153311,59.0
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5811,188.0
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID774,86.0
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5819,235.5
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID657298,219.0
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5610,164.5
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4033,-60.0
46,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5641,49.0
47,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5832,161.5
48,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5833,207.5
49,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5453,51.5
50,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5838,173.0
51,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5839,166.5
52,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5842,172.0
53,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5845,147.5
54,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2450,131.5
55,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5853,77.0
56,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5857,159.0
57,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5859,53.0
58,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3559,151.5
59,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5866,190.0
60,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID222786,222.0
61,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5870,260.2
62,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4211,77.0
63,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5876,210.5
64,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5877,206.5
65,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5878,236.5
66,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5879,185.0
67,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5881,140.5
68,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5889,269.5
69,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID439530,176.25
70,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3715,158.0
71,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5897,193.0
72,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5777,76.0
73,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4076,35.5
74,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID89594,-79.0
75,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5899,316.0
76,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5901,158.0
77,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4260,144.5
78,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5905,263.0
79,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1051,255.0
80,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5906,107.5
81,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3767,171.4
82,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5917,59.5
83,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5918,220.0
84,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5922,315.0
85,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3346,7.5
86,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID9552079,134.0
87,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4510,13.5
88,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2368,196.0
89,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5934,138.5
90,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5936,-82.0
91,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5939,136.0
92,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID65522,220.5
93,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5942,-14.0
94,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,-23.0
95,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID991,6.1
96,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5952,157.0
97,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1674,180.0
98,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID448537,170.5
99,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID441074,174.0
100,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5954,84.0
101,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5955,154.0
102,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2871,93.0
103,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5959,150.5
104,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID753,18.2
105,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID751,145.0
106,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID754,-25.0
107,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5971,-80.0
108,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2005,104.5
109,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID985,61.8
110,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5281,68.8
111,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1176,132.7
112,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5976,-58.0
113,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5977,97.0
114,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5978,220.0
115,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID441071,287.0
116,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1775,296.5
117,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4058,270.0
118,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2164,157.0
119,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2294,190.0
120,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5983,105.5
121,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5988,185.5
122,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1030,-60.0
123,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5196,96.0
124,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280963,168.5
125,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5991,183.0
126,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4911,195.0
127,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5324,191.5
128,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5327,198.5
129,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5993,106.0
130,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5994,121.0
131,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID444679,170.0
132,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5997,148.5
133,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6001,122.5
134,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2519,238.0
135,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4993,233.5
136,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6009,134.5
137,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6011,151.0
138,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID441404,155.0
139,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6013,155.0
140,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2712,236.2
141,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4055,107.0
142,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3108,163.0
143,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6017,184.5
144,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4917,228.0
145,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4748,97.0
146,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6018,128.0
147,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2153,273.0
148,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID60961,235.5
149,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6025,72.5
150,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3100,168.0
151,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4680,147.5
152,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6028,70.0
153,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3639,274.0
154,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID86472,-27.5
155,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6029,165.0
156,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5699,289.0
157,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID14985,3.0
158,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3037556,170.0
159,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5497,25.0
160,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6038,199.5
161,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5338,247.5
162,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4914,61.0
163,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID321710,128.0
164,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6043,138.0
165,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3759,105.5
166,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1986,260.5
167,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6046,29.0
168,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4768,39.0
169,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5504,174.0
170,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6050,-75.0
171,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6054,-27.0
172,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6058,98.0
173,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3283,-116.3
174,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID564,205.0
175,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280450,-8.5
176,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6061,-52.4
177,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID22565,137.0
178,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3082,52.0
179,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1349907,146.0
180,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID969491,175.5
181,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6070,206.0
182,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2206,114.0
183,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6072,110.0
184,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4927,60.0
185,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6076,219.5
186,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID18847,46.0
187,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6088,88.0
188,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6089,46.0
189,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1150,118.0
190,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5356,181.0
191,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4044,230.5
192,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2148,198.5
193,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6103,184.5
194,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1639,159.0
195,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6106,293.0
196,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6108,242.0
197,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4754,137.5
198,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6115,-6.0
199,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2723790,182.0
200,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5284595,208.5
201,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3039,-60.0
