,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5743,0
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4763,1
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5746,1
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2907,1
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5755,0
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5756,0
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5757,0
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3036,0
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5758,0
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4781,0
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5426,0
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5765,0
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2995,0
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2160,0
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3696,0
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5770,0
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4477,1
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID457193,0
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5789,0
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID107526,0
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5794,0
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4472,1
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5798,0
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3385,0
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5811,0
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5816,0
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5817,0
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID774,0
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID657298,0
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5641,1
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5832,0
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5453,1
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2450,0
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2901,0
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5852,1
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3559,0
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5865,1
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5881,0
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5889,1
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5895,1
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5896,1
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID89594,0
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1826,0
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3767,1
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2331,0
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3346,0
