,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID89594,38.29
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5921,32.5575
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4510,49.48
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,26.43
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5971,34.075
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6050,30.5125
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6115,42.1175
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6124,37.7425
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID702,21.97
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID284,37.125
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID176,27.095
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID887,22.0675
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3776,20.9275
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID180,23.46
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6212,26.6725
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID679,42.9175
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1031,23.3175
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID263,24.93425
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6276,25.355
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6278,25.175
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6327,15.375
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6328,30.335
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6329,19.15
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID878,23.85
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3024,39.05
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6332,23.6225
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6340,28.455
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6341,19.2
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6342,28.6625
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID177,20.5
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6343,23.0775
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6346,66.1775
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1068,24.0575
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6354,23.5
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6358,23.2525
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6359,31.875
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6360,9.74
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6361,19.1625
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6362,26.5825
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6363,17.48025
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6364,21.325
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6375,36.525
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6385,16.87
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6386,19.96
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6387,19.97
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6395,50.0475
46,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6397,17.3225
47,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6403,15.815
48,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6405,22.31
49,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6407,24.6675
50,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6419,34.145
51,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6422,13.529
52,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6423,31.675
53,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6493,23.26
54,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6534,28.1925
55,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6535,29.49
56,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6549,26.2125
57,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6554,24.7125
58,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6555,24.3125
59,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6556,14.4425
60,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6558,21.75
