,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,102.9
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1030,201.347
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6115,177.1
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID284,277.35
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID176,169.5
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID887,206.0
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3776,134.4
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID180,163.3
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6212,118.5
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6228,182.115
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1031,151.8
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID263,155.3
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6276,156.375
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID241,142.4
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6278,101.2
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6323,95.702
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6325,79.5
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6328,92.1
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3024,108.5
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6332,102.517
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6334,90.93
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6337,127.0
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID177,187.805
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6344,139.232
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6346,97.975
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID713,352.0
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5558,98.85
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6358,95.0
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6365,110.675
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6368,104.075
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6370,109.365
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6372,86.457
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6373,85.7
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6375,203.676
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6386,107.965
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6388,84.925
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6389,91.83
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6391,71.025
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6403,100.812
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6408,88.475
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6409,127.2
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6427,81.875
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6428,74.894
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6430,52.2
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6431,35.55
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6432,48.2
46,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6506,147.7
47,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6555,93.6
48,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6556,111.35
49,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6557,127.65
50,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6560,132.8
51,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6561,130.028
52,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6568,133.04
53,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6575,115.881
54,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1032,148.0
55,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6584,150.008
56,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6589,105.787
57,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6590,141.9
58,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6591,112.73
59,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID398,136.7
60,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6658,146.03
61,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6766,131.338
62,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6781,142.725
63,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6782,125.5
64,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6895,112.4
65,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6908,109.45
66,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6944,141.9
67,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6989,131.0
68,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7001,111.35
69,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7003,125.6
70,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7044,113.64
71,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7047,147.35
72,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7061,136.25
73,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7150,146.9
74,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7165,141.5
75,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7237,131.4
76,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID335,153.6
77,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7238,127.2
78,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7239,121.83
79,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7245,141.1
80,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7288,149.568
81,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7358,137.4
82,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7361,179.6
83,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7362,174.35
84,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7366,117.55
85,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7406,127.322
86,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7410,144.0
87,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7416,148.95
88,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7422,139.232
89,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7463,123.1
90,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7505,148.5
91,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID244,159.425
92,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID240,151.883
93,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7519,144.8
94,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7583,126.734
95,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7622,128.9
96,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7668,126.788
97,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7670,150.3
98,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7674,140.82
99,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7705,125.31
100,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7749,144.757
101,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7762,139.4
102,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7772,129.4
103,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7803,143.038
104,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7809,129.546
105,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7810,123.4
106,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2879,144.4
107,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4685,113.8
108,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7812,147.8
109,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7813,164.1
110,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7840,99.35
111,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID11,133.345
112,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID33643,90.684
113,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7855,165.446
114,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID174,252.699
115,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7865,184.182
116,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7892,110.681
117,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7895,142.0
118,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID264,147.6
119,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7903,156.834
120,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7904,154.085
121,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7907,105.681
122,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7914,108.61
123,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7915,132.915
124,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7918,164.1
125,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7929,131.25
126,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7931,126.0
127,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7932,149.4
128,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7934,160.7
129,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7961,113.807
130,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1140,133.1
131,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7966,134.4
132,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7967,138.55
133,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID996,159.535
134,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7991,142.4
135,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7997,138.0
136,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8002,103.65
137,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8003,112.4
138,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8021,175.4
139,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8038,119.7
140,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8046,151.3
141,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61030,139.4
142,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8051,140.887
143,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8053,115.5
144,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8057,104.334
145,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8058,118.9
146,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8063,139.525
147,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8064,205.9
148,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8073,146.13
149,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8076,175.097
150,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8078,119.211
151,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8079,133.9
152,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1049,164.065
153,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8090,152.033
154,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8093,142.487
155,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8101,110.37
156,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8103,142.2
157,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8105,200.0
158,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8117,204.085
159,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8125,133.668
160,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8126,138.668
161,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8128,175.933
162,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8129,137.0
163,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8130,138.95
164,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8133,161.262
165,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8134,162.025
166,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8141,130.2
167,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8142,127.2
168,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID957,165.9
169,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8146,189.625
170,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8158,142.0
