,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID612,-1.09
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5759,-3.26
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2336,-8.26
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID446220,-6.719
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5765,-3.642
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2244,-4.599
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4033,-0.77
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5641,-0.582
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5889,-9.02
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID89594,-1.42
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3346,-4.979
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4510,-3.398
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,2.061
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1674,-7.367
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID753,-3.775
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID33032,-7.77
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1030,-0.889
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5993,-5.011
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID644160,-9.706
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6028,-3.177
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3080,-2.301
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6053,-7.155
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6054,-1.061
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3283,2.731
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280450,-6.061
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6061,1.699
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID178,-1.398
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3082,-4.726
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1639,-6.357
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4754,-6.16
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6113,-0.686
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6115,-0.31
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2723790,-2.553
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3039,-1.801
