,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,-0.041
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID753,2.975
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5988,0.299
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1030,1.619
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3283,-0.652
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6115,0.571
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID702,0.028
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID284,0.198
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID176,0.023
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID887,-0.263
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID180,-0.515
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6212,-0.269
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID679,0.29
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6228,-0.094
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1031,0.292
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID241,-0.217
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6278,-0.1
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6328,-0.33
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6329,-0.759
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6332,-0.427
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6340,-0.256
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6342,-0.445
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6343,-0.541
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6344,-0.383
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6346,0.412
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1068,-0.552
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6354,-0.595
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5558,0.27
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6358,-0.339
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6361,-0.516
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6362,-0.186
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6363,-0.493
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6364,-0.447
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6365,-0.334
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6366,-0.462
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6370,-0.552
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6372,-0.726
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6378,-0.553
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6386,0.588
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6387,-0.233
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6391,-0.59
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6403,-0.454
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6405,0.602
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6407,0.104
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6416,-0.176
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6419,0.356
46,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6422,-0.092
47,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6428,-0.184
48,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6429,-0.439
49,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6527,1.935
50,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6537,1.2
51,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6555,-0.221
52,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6556,-0.672
53,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6557,-0.685
54,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6558,-0.255
55,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6559,-0.315
56,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6560,0.527
57,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6563,-0.413
58,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6568,0.562
59,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6569,-0.403
60,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6575,-0.274
61,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID62324,-0.346
62,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6581,0.063
63,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6582,0.621
64,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6584,-0.439
65,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6587,-0.195
66,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6588,0.986
67,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6589,-0.442
68,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6590,0.089
69,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6591,0.196
70,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6597,0.697
71,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID398,-0.142
72,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6896,0.509
73,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6897,0.344
74,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6944,0.335
75,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6947,0.569
76,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6998,0.411
77,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7043,0.516
78,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7044,0.384
79,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7047,0.528
80,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7061,0.31
81,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7094,0.531
82,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7150,0.268
83,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7165,0.288
84,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7219,0.222
85,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7236,0.151
86,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID335,0.909
87,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7238,-0.016
88,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7241,-0.195
89,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7242,0.567
90,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7245,0.525
91,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7288,-0.351
92,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7296,-0.321
93,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7302,0.23
94,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3314,0.921
95,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7344,0.387
96,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7358,0.77
97,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7361,0.665
98,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7362,0.18
99,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7366,1.441
100,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7410,0.22
101,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7416,0.269
102,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7463,0.365
103,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7500,-0.203
104,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7501,-0.154
105,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7503,0.106
106,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7504,0.205
107,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7505,0.097
108,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID244,0.71
109,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID240,0.121
110,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7515,0.32
111,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7540,1.178
112,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID66022,0.596
113,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7657,0.687
114,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7670,0.311
115,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7673,0.162
116,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7674,0.073
117,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7705,-0.022
118,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7720,0.824
119,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7724,0.183
120,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7747,0.394
121,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7749,-0.301
122,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7752,0.478
123,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7762,-0.202
124,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7764,0.398
125,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7797,0.066
126,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7798,0.158
127,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7800,0.468
128,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7805,0.062
129,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7810,-0.079
130,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7834,-0.398
131,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7835,0.013
132,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7839,0.202
133,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7840,-0.311
134,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7841,-0.327
135,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7843,-0.775
136,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7845,-0.859
137,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7848,-0.415
138,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7850,-0.504
139,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID11,-0.107
140,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID34,0.482
141,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7852,-0.425
142,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7853,-0.427
143,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3301,0.172
144,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7858,0.086
145,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID174,1.198
146,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7865,-0.481
147,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7892,-0.546
148,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7894,-0.175
149,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7896,1.993
150,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7903,-0.102
151,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7907,-0.461
152,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7909,-0.264
153,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7912,-0.399
154,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7914,-0.421
155,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7918,-0.073
156,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID342,1.034
157,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7931,-0.017
158,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID7933,1.077
