,cid,y
0,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5744,4.458
1,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4763,2.321
2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4099,2.0
3,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2907,0.815
4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5752,0.923
5,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5753,3.241
6,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5754,3.054
7,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5755,3.209
8,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5757,4.879
9,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3036,7.809
10,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5759,1.467
11,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2336,8.192
12,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4781,3.812
13,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID446220,2.227
14,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2995,3.658
15,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2160,4.456
16,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3696,4.188
17,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2726,5.097
18,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5770,3.921
19,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2244,1.593
20,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5794,4.374
21,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5798,1.769
22,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5799,-0.292
23,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3385,1.069
24,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1493,1.819
25,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5810,-0.44
26,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5816,3.008
27,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID657298,2.152
28,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5610,1.12
29,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5833,4.277
30,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5834,4.369
31,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5453,-0.002
32,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5838,2.169
33,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5842,2.061
34,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2901,0.412
35,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5852,0.128
36,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5853,0.331
37,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID222786,3.11
38,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5870,3.955
39,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4211,6.505
40,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5881,3.657
41,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3715,5.582
42,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3767,-0.009
43,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5921,-0.016
44,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2331,0.953
45,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5922,1.374
46,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID9552079,2.801
47,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4510,2.216
48,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5936,1.078
49,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5943,2.288
50,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5944,3.816
51,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3608,2.735
52,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID750,-0.521
53,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5950,-0.265
54,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5951,-0.607
55,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5952,4.63
56,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1674,7.966
57,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID448537,4.35
58,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID441074,3.365
59,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5959,2.111
60,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID753,-1.036
61,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID751,0.489
62,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5960,1.395
63,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5962,-0.835
64,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID67678,3.102
65,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID586,0.994
66,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5971,1.695
67,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID985,6.807
68,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5281,5.678
69,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1176,-0.958
70,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5977,1.346
71,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID441071,3.32
72,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5288826,3.282
73,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1775,3.897
74,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4058,1.885
75,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2164,2.574
76,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2294,1.393
77,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5984,-0.635
78,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4064,1.667
79,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1030,-1.119
80,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2365,-0.71
81,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280963,2.881
82,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5991,4.419
83,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5327,2.268
84,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5994,4.553
85,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5995,5.367
86,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5997,6.61
87,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID68570,4.844
88,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6001,6.623
89,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6005,1.207
90,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2519,0.954
91,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6009,0.629
92,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6010,3.95
93,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6013,4.091
94,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4055,3.032
95,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6017,5.002
96,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4917,4.397
97,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4748,4.155
98,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2153,1.389
99,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6021,1.23
100,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4680,3.987
101,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6028,4.004
102,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3639,2.615
103,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2720,3.046
104,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6037,5.441
105,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6038,2.141
106,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4914,1.398
107,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4059,1.189
108,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID876,0.659
109,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1986,2.356
110,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6046,-0.935
111,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6047,1.596
112,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6051,3.79
113,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6054,0.741
114,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6057,2.578
115,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID564,-0.585
116,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6061,-1.337
117,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3082,0.993
118,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID969491,6.291
119,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6072,2.64
120,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4788,3.348
121,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4927,4.261
122,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6075,4.745
123,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID72287,4.215
124,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6093,3.217
125,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4044,4.082
126,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1639,-0.522
127,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6106,0.785
128,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6108,2.922
129,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4754,2.369
130,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2723949,-0.336
131,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2723790,-0.271
132,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6119,-0.244
133,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5380394,3.016
134,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3039,1.441
135,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6124,-1.13
136,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6128,3.695
137,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6129,3.262
138,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6137,0.421
139,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5333,1.361
140,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2230,-0.809
141,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6140,0.788
142,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6143,3.357
143,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID284,-1.337
144,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID176,-1.221
145,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6163,1.343
146,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5147,1.823
147,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4649,1.957
148,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1135,1.519
149,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID448580,-0.206
150,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID243,1.555
151,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID967,1.933
152,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1174,1.493
153,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6184,1.249
154,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1318,1.826
155,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6604200,3.476
156,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3053,1.914
157,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5323714,3.75
158,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID887,-1.494
159,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3776,-1.221
160,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID180,-1.236
161,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6212,1.177
162,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6214,3.675
163,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6216,4.13
164,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6223,3.669
165,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1133,-1.036
166,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6230,4.627
167,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5215,3.512
168,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6238,4.708
169,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6251,-0.074
170,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID338,1.79
171,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1188,3.343
172,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1175,3.447
173,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3598,3.463
174,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6267,0.653
175,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2973,1.67
176,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6269,1.734
177,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6271,2.639
178,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6274,0.532
179,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1031,-1.221
180,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID597,1.143
181,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID263,0.069
182,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6276,0.603
183,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID241,1.64
184,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6278,2.015
185,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID441207,5.293
186,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5340,2.835
187,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6287,0.302
188,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6288,0.089
189,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID12358480,6.183
190,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4115,6.539
191,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3035,6.9
192,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6295,6.488
193,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6305,1.183
194,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID190,2.118
195,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6306,0.581
196,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2315,3.591
197,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6318,3.337
198,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6324,2.699
199,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6326,1.336
200,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6327,0.977
201,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6328,1.012
202,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID878,0.495
203,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3024,1.165
204,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6332,1.083
205,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6333,0.889
206,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6334,2.849
207,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6335,1.042
208,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6337,0.983
209,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6338,0.851
210,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6340,1.591
211,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6341,-1.346
212,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6342,-1.387
213,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID177,-1.356
214,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6343,0.6
215,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6346,2.507
216,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID713,-1.346
217,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6350,-0.577
218,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID1068,0.451
219,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6351,2.043
220,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5558,1.911
221,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6358,1.587
222,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6359,1.733
223,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6361,1.404
224,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6362,2.084
225,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6363,-1.228
226,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6365,1.293
227,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6366,1.603
228,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6369,2.579
229,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6370,0.738
230,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6372,1.494
231,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6373,1.233
232,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6378,-1.007
233,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6384,2.668
234,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6386,-1.13
235,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6391,2.635
236,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6393,3.67
237,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6395,-1.017
238,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6396,3.653
239,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6403,3.671
240,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6404,0.401
241,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6405,-0.096
242,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6407,0.691
243,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6408,1.11
244,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6415,0.171
245,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6416,0.722
246,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6417,0.673
247,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6418,-0.545
248,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6419,2.625
249,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6422,-0.943
250,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6423,2.006
251,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6426,3.309
252,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6427,3.23
253,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6428,3.042
254,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6429,3.119
255,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6430,3.425
256,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6431,4.249
257,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6432,4.518
258,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6433,1.685
259,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID2537,1.978
260,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6435,1.994
261,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6436,4.316
262,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6443,0.867
263,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3589,6.317
264,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5284371,1.522
265,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID65565,3.628
266,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID4737,2.523
267,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6455,2.214
268,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6457,2.26
269,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6463,2.209
